Pincode,Warehouse,Allocation,Demand,Distance,WeightedCost
516356,BENGALURU URBAN,1.0,3,230.230205429288,690.690616287864
516175,BENGALURU URBAN,1.0,1,248.421314557407,248.421314557407
516434,BENGALURU URBAN,1.0,8,226.053445308177,1808.427562465416
516380,BENGALURU URBAN,1.0,3,211.73835956936,635.21507870808
516172,BENGALURU URBAN,1.0,1,237.033452186189,237.033452186189
516309,BENGALURU URBAN,1.0,3,211.088186198797,633.264558596391
516289,BENGALURU URBAN,1.0,1,210.316666043338,210.316666043338
516444,BENGALURU URBAN,1.0,1,214.163536172424,214.163536172424
516350,BENGALURU URBAN,1.0,1,267.721814293644,267.721814293644
516329,BENGALURU URBAN,1.0,1,188.857341386743,188.857341386743
517152,BENGALURU URBAN,1.0,5,166.923045314627,834.6152265731349
517172,BENGALURU URBAN,1.0,1,177.358240687769,177.358240687769
517112,BENGALURU URBAN,1.0,0,176.459238745287,0.0
517214,BENGALURU URBAN,1.0,14,178.810717052948,2503.3500387412723
517590,BENGALURU URBAN,1.0,6,220.432878636498,1322.597271818988
517587,BENGALURU URBAN,1.0,1,238.282129031496,238.282129031496
517619,BENGALURU URBAN,1.0,1,234.294538839135,234.294538839135
517569,BENGALURU URBAN,1.0,1,203.626295571403,203.626295571403
534235,HYDERABAD,1.0,3,330.28506825816,990.85520477448
534239,HYDERABAD,1.0,5,338.701548874457,1693.5077443722848
534208,HYDERABAD,1.0,2,334.9325944023,669.8651888046
534204,HYDERABAD,1.0,2,331.104627452797,662.209254905594
534199,HYDERABAD,1.0,1,331.283042585574,331.283042585574
534244,HYDERABAD,1.0,2,339.929124467333,679.858248934666
534123,HYDERABAD,1.0,2,361.767286849397,723.534573698794
534266,HYDERABAD,1.0,1,368.249276952616,368.249276952616
534250,HYDERABAD,1.0,2,353.02955320369,706.05910640738
534122,HYDERABAD,1.0,1,356.005094492923,356.005094492923
534281,HYDERABAD,1.0,1,345.020075618707,345.020075618707
534275,HYDERABAD,1.0,10,355.116112386316,3551.16112386316
534280,HYDERABAD,1.0,1,352.420080930432,352.420080930432
534134,HYDERABAD,1.0,2,337.363130130728,674.726260261456
534328,HYDERABAD,1.0,1,351.427096446468,351.427096446468
534004,HYDERABAD,1.0,1,294.121988120583,294.121988120583
534007,HYDERABAD,1.0,10,279.068515124312,2790.68515124312
534003,HYDERABAD,1.0,5,285.407916778818,1427.03958389409
534002,HYDERABAD,1.0,20,285.996577065296,5719.931541305919
534425,HYDERABAD,1.0,5,304.572076024176,1522.86038012088
