"pincode","district","latitude","longitude","Demand"
516356,"Y.S.R.",14.718334,78.6667555,3
516356,"Y.S.R.",14.770713,78.66351,3
516175,"Y.S.R.",14.9279294,78.6238894,1
516175,"Y.S.R.",14.8022227,78.6398234,1
516175,"Y.S.R.",14.7801409,78.6265859,1
516434,"Y.S.R.",14.7859383,78.4497743,8
516434,"Y.S.R.",14.8010334,78.4090981,8
516434,"Y.S.R.",14.8200874,78.3702232,8
516434,"Y.S.R.",14.8654017,78.3760991,8
516434,"Y.S.R.",15.002678,78.4452965,8
516434,"Y.S.R.",14.8005557,78.3531747,8
516434,"Y.S.R.",14.7765266,78.4249114,8
516380,"Y.S.R.",14.6792339,78.3705531,3
516380,"Y.S.R.",14.6546073,78.3696176,3
516380,"Y.S.R.",14.6877778,78.3933055,3
516172,"Y.S.R.",14.7886078,78.6677259,1
516172,"Y.S.R.",14.7196676,78.8588476,1
516172,"Y.S.R.",14.7232222,78.3337759,1
516172,"Y.S.R.",14.6988155,78.6960408,1
516172,"Y.S.R.",14.721594,78.809462,1
516309,"Y.S.R.",14.6076766,78.5077881,3
516289,"Y.S.R.",14.544715,78.6056533,1
516289,"Y.S.R.",14.546919,78.6309656,1
516289,"Y.S.R.",14.556666,78.6490368,1
516289,"Y.S.R.",14.4785833,78.8220556,1
516444,"Y.S.R.",14.7502967,78.2471825,1
516350,"Y.S.R.",14.9165008,78.992274,1
516350,"Y.S.R.",14.3114714,78.3576978,1
516350,"Y.S.R.",14.3958563,78.4025648,1
516329,"Y.S.R.",14.3923581,78.480938,1
517152,"CHITTOOR",13.472453,79.021884,5
517172,"CHITTOOR",13.558238,79.090547,1
517172,"CHITTOOR",13.599725,79.043035,1
517112,"CHITTOOR",13.38991,79.143438,0
517214,"CHITTOOR",13.674989,79.049366,14
517590,"CHITTOOR",13.3211941,79.5785983,6
517587,"CHITTOOR",13.364362,79.738006,1
517619,"Tirupati",13.6636249,79.613713,1
517569,"CHITTOOR",13.44,79.39,1
517569,"CHITTOOR",13.42,79.27,1
517569,"CHITTOOR",13.41,79.31,1
534235,"WEST GODAVARI",16.89825,81.570268,3
534239,"WEST GODAVARI",16.435633,81.51884,5
