"pincode","district","latitude","longitude","Demand"
516356,"Y.S.R.","14.7183340","78.6667555",3
516356,"Y.S.R.","14.7707130","78.6635100",3
516175,"Y.S.R.","14.9279294","78.6238894",1
516175,"Y.S.R.","14.8022227","78.6398234",1
516175,"Y.S.R.","14.7801409","78.6265859",1
516434,"Y.S.R.","14.7859383","78.4497743",8
516434,"Y.S.R.","14.8010334","78.4090981",8
516434,"Y.S.R.","14.8200874","78.3702232",8
516434,"Y.S.R.","14.8654017","78.3760991",8
516434,"Y.S.R.","15.0026780","78.4452965",8
516434,"Y.S.R.","14.8005557","78.3531747",8
516434,"Y.S.R.","14.7765266","78.4249114",8
516380,"Y.S.R.","14.6792339","78.3705531",3
516380,"Y.S.R.","14.6546073","78.3696176",3
516380,"Y.S.R.","14.6877778","78.3933055",3
516172,"Y.S.R.","14.7886078","78.6677259",1
516172,"Y.S.R.","14.7196676","78.8588476",1
516172,"Y.S.R.","14.7232222","78.3337759",1
516172,"Y.S.R.","14.6988155","78.6960408",1
516172,"Y.S.R.","14.721594","78.809461999999996",1
516309,"Y.S.R.","14.6076766","78.5077881",3
516289,"Y.S.R.","14.5447150","78.6056533",1
516289,"Y.S.R.","14.5469190","78.6309656",1
516289,"Y.S.R.","14.5566660","78.6490368",1
516289,"Y.S.R.","14.4785833","78.8220556",1
516444,"Y.S.R.","14.7502967","78.2471825",1
516350,"Y.S.R.","14.9165008","78.9922740",1
516350,"Y.S.R.","14.3114714","78.3576978",1
516350,"Y.S.R.","14.3958563","78.4025648",1
516329,"Y.S.R.","14.3923581","78.4809380",1
517152,"CHITTOOR","13.4724530","79.0218840",5
517172,"CHITTOOR","13.5582380","79.0905470",1
517172,"CHITTOOR","13.5997250","79.0430350",1
517112,"CHITTOOR","13.3899100","79.1434380",0
517214,"CHITTOOR","13.6749890","79.0493660",14
517590,"CHITTOOR","13.3211941","79.5785983",6
517587,"CHITTOOR","13.3643620","79.7380060",1
517619,"Tirupati","13.6636249","79.613713000000004",1
517569,"CHITTOOR","13.4400000","79.3900000",1
517569,"CHITTOOR","13.4200000","79.2700000",1
517569,"CHITTOOR","13.4100000","79.3100000",1
534235,"WEST GODAVARI","16.898250","81.570268",3
534239,"WEST GODAVARI","16.435633","81.518840",5
534208,"WEST GODAVARI","16.518868","81.511431",2
534204,"WEST GODAVARI","16.546890","81.483225",2
534199,"WEST GODAVARI","16.592015","81.499844",1
534199,"WEST GODAVARI","16.584626","81.469484",1
534244,"WEST GODAVARI","16.539136","81.567586",2
534123,"WEST GODAVARI","16.637885","81.811018",2
534266,"WEST GODAVARI","16.554875","81.850178",1
534266,"WEST GODAVARI","16.534626","81.831316",1
534250,"WEST GODAVARI","16.545498","81.698370",2
534122,"WEST GODAVARI","16.636901","81.754761",1
534122,"WEST GODAVARI","16.607926","81.756134",1
534281,"WEST GODAVARI","16.402261","81.569240",1
534275,"WEST GODAVARI","16.471090","81.694336",10
534275,"WEST GODAVARI","16.338067","81.698684",10
534280,"WEST GODAVARI","16.439430","81.656570",1
534134,"Eluru","16.710069","81.593913",2
534134,"WEST GODAVARI","16.656478","81.606247",2
534134,"WEST GODAVARI","16.729314","81.588593",2
534134,"WEST GODAVARI","16.699999999999999","81.590000000000003",2
534328,"WEST GODAVARI","16.720436","81.732783",1
534328,"WEST GODAVARI","16.772612","81.753302",1
534004,"Eluru","16.6645000","81.1581000",1
534007,"Eluru","16.6708000","81.0117000",10
534003,"Eluru","16.7310000","81.0938000",5
534002,"Eluru","16.6836000","81.0844000",20
534425,"Eluru","16.8540000","81.3135000",5
534448,"Eluru","17.4869000","81.3014000",1
534448,"Eluru","16.9568000","81.3376000",1
534448,"Eluru","17.2414000","81.3058000",1
534406,"Eluru","16.7610000","81.3886000",3
534406,"WEST GODAVARI","16.8167000","81.3667000",3
534406,"WEST GODAVARI","16.8413000","81.4082000",3
534460,"Eluru","16.5944000","79.3981000",3
534460,"Eluru","16.7750000","81.4919000",3
534462,"Eluru","16.1519000","79.5354000",2
534462,"Eluru","16.2581000","78.5843000",2
534462,"Eluru","16.9132000","81.0132000",2
534462,"Eluru","16.8167000","81.3667000",2
534462,"Eluru","16.8854000","80.9955000",2
534426,"Eluru","16.9766000","81.2597000",2
534426,"Eluru","16.9543000","81.2558000",2
534426,"Eluru","16.9766000","81.2597000",2
534456,"Eluru","17.1771000","81.1013000",1
534456,"Eluru","17.7160000","81.0379000",1
534456,"Eluru","17.1706000","81.1719000",1
534456,"Eluru","17.1916000","81.0379000",1
534456,"Eluru","17.1967000","81.0965000",1
534312,"Eluru","16.9294500","81.6557200",13
534312,"WEST GODAVARI","16.9316","81.2378",13
534451,"Eluru","17.0018000","81.2764000",1
534401,"Eluru","16.8353000","81.3172000",1
534450,"Eluru","16.8233000","81.1568000",2
534452,"Eluru","16.5675000","81.6359000",2
534452,"Eluru","16.8692000","81.1692000",2
534450,"Eluru","16.7569000","81.1126000",2
521333,"Eluru","16.5900000","81.1900000",3
521333,"Eluru","16.5300000","81.2700000",3
521333,"Eluru","16.7900000","80.2300000",3
521333,"Eluru","16.5031483","81.2876611",3
521345,"Eluru","16.5000000","81.1400000",2
521345,"Eluru","16.9600000","80.0600000",2
521325,"KRISHNA","16.4400000","81.0800000",2
521325,"Eluru","16.4600000","81.1300000",2
521325,"Eluru","16.4300000","81.1600000",2
521340,"Eluru","16.5800000","81.2700000",1
521340,"Eluru","16.5600000","81.2900000",1
521340,"Eluru","16.6030000","81.3450000",1
521329,"KRISHNA","16.3800000","81.2300000",2
521329,"Eluru","16.4500000","81.1800000",2
521329,"Eluru","17.0200000","80.4300000",2
521106,"KRISHNA","16.5700000","80.9600000",1
521106,"KRISHNA","16.5300000","80.9400000",1
521215,"NTR","16.8900000","80.7600000",3
521215,"NTR","16.9700000","80.7600000",3
521215,"NTR","16.9100000","80.7200000",3
521215,"NTR","16.9802000","80.8062000",3
521401,"NTR","17.0025490","80.4704530",2
521401,"NTR","17.0469530","80.4067240",2
521235,"KRISHNA","17.0583410","80.5371520",6
521235,"KRISHNA","17.0650570","80.5711160",6
524341,"SPSR NELLORE","14.5216500","79.5681000",2
524341,"SPSR NELLORE","14.5213207","79.5612346",2
524341,"SPSR NELLORE","14.4732387","80.1082617",2
524406,"Tirupati","14.1510424","79.7727398",2
524406,"Tirupati","14.1615215","79.7791229",2
524406,"Tirupati","14.1627327","79.8286178",2
524414,"SPSR NELLORE","14.1998264","79.5336367",1
524414,"SPSR NELLORE","14.1998224","79.5336407",1
524410,"Tirupati","14.1463268","79.8503807",1
524410,"Tirupati","14.0998500","79.9169500",1
524411,"Tirupati","14.0652500","80.0441500",3
524411,"Tirupati","14.4426097","79.9864450",3
524123,"Tirupati","13.7851000","80.1113900",1
524123,"Tirupati","13.7851000","80.1113900",1
524123,"Tirupati","13.7851000","80.1113900",1
524421,"Tirupati","14.6891984","79.3500649",3
524126,"SPSR NELLORE","14.1691000","79.8517500",9
524345,"SPSR NELLORE","14.3840982","79.7323987",6
524408,"SPSR NELLORE","14.3474140","79.5940414",1
524408,"SPSR NELLORE","14.1998150","79.5336480",1
524121,"Tirupati","13.6969500","80.0785600",20
524407,"SPSR NELLORE","14.1791020","79.7443280",4
524407,"SPSR NELLORE","14.1313500","79.6724500",4
524415,"Tirupati","14.0025511","80.0709399",1
524415,"Tirupati","14.0025471","80.0709439",1
524415,"Tirupati","14.0809500","80.0180500",1
524320,"SPSR NELLORE","14.3229135","79.9234538",1
524132,"Tirupati","13.9922400","79.5230500",9
524413,"Tirupati","14.4398000","79.9691000",4
524413,"Tirupati","14.0025511","80.0709399",4
524309,"SPSR NELLORE","14.3841032","79.7323937",1
522017,"GUNTUR","16.5071110","80.2105190",6
522005,"GUNTUR","16.2876750","80.3923080",7
522005,"GUNTUR","16.2614390","80.3601840",7
522005,"GUNTUR","16.261439","80.360184",7
522235,"GUNTUR","16.0510450","80.3380210",1
522019,"GUNTUR","16.2273720","80.3303630",12
522020,"Palnadu","16.5823940","80.2781260",3
522502,"GUNTUR","16.4881320","80.5570390",4
522016,"GUNTUR","16.4429030","80.4117870",1
522303,"GUNTUR","16.4277400","80.6562750",1
522303,"GUNTUR","16.4449330","80.6333850",1
522302,"GUNTUR","16.4473000","80.6049370",2
522018,"GUNTUR","16.3734870","80.3589050",3
522018,"GUNTUR","16.4334080","80.3610420",3
522018,"GUNTUR","16.3580560","80.4034390",3
522508,"GUNTUR","16.3759800","80.5174680",2
522501,"GUNTUR","16.4957260","80.5799500",19
522236,"GUNTUR","16.4907970","80.4396060",4
522236,"GUNTUR","16.5315270","80.4222200",4
522237,"GUNTUR","16.4589080","81.0354410",4
522237,"GUNTUR","16.5480850","80.4813170",4
522237,"GUNTUR","16.4917540","80.4764520",4
522237,"GUNTUR","16.5268580","80.5111980",4
522237,"GUNTUR","16.5130520","80.5513290",4
507116,"BHADRADRI KOTHAGUDEM","17.9311203","80.815622399999995",1
507117,"BHADRADRI KOTHAGUDEM","17.931125300000001","80.815617399999994",4
507117,"BHADRADRI KOTHAGUDEM","17.6967","81.149749999999997",4
507117,"BHADRADRI KOTHAGUDEM","17.9312","80.815600000000003",4
507117,"BHADRADRI KOTHAGUDEM","17.895028","80.792652000000004",4
507117,"BHADRADRI KOTHAGUDEM","18.052340000000001","80.581603999999999",4
507117,"BHADRADRI KOTHAGUDEM","18.070809000000001","80.460926000000001",4
507117,"BHADRADRI KOTHAGUDEM","18.057102","80.476613999999998",4
507117,"BHADRADRI KOTHAGUDEM","18.042776","80.468322999999998",4
507117,"BHADRADRI KOTHAGUDEM","18.010352999999999","80.623459999999994",4
507117,"BHADRADRI KOTHAGUDEM","18.010352999999999","80.623459999999994",4
507117,"BHADRADRI KOTHAGUDEM","18.064698","80.813036999999994",4
507115,"BHADRADRI KOTHAGUDEM","17.775518999999999","80.676848000000007",8
507115,"BHADRADRI KOTHAGUDEM","17.714006000000001","80.683763999999996",8
507115,"BHADRADRI KOTHAGUDEM","17.680886999999998","80.694474",8
507202,"KHAMMAM","17.6062996","81.2160679",1
507211,"MAHABUBABAD","17.618099999999998","80.128789999999995",1
507211,"MAHABUBABAD","18.046061399999999","80.733905399999998",1
507204,"KHAMMAM","16.8834787","80.4785212",1
507204,"KHAMMAM","17.3316900","80.1200500",1
507204,"KHAMMAM","17.0440220","80.3289680",1
507208,"KHAMMAM","17.155349999999999","80.216399999999993",2
507208,"KHAMMAM","17.124691200000001","80.208415299999999",2
507208,"KHAMMAM","17.136644400000002","80.213995299999993",2
507208,"KHAMMAM","16.699164799999998","79.813545399999995",2
507208,"KHAMMAM","17.067941699999999","80.212598900000003",2
507208,"KHAMMAM","17.124688200000001","80.208418300000005",2
507002,"KHAMMAM","17.2659582","80.1725506",20
507002,"KHAMMAM","17.2988146","80.1983362",20
507002,"KHAMMAM","17.2509014","80.1756491",20
507002,"KHAMMAM","17.320281690000002","80.214218810000006",20
507168,"KHAMMAM","17.330985900000002","80.4402884",1
507168,"KHAMMAM","17.3309909","80.440283399999998",1
507168,"KHAMMAM","17.596","81.056700000000006",1
507168,"KHAMMAM","17.330984900000001","80.440289399999997",1
507168,"KHAMMAM","17.355333999999999","80.460076999999998",1
507168,"KHAMMAM","17.319792","80.469539999999995",1
507168,"KHAMMAM","17.348593999999999","80.370951000000005",1
507168,"KHAMMAM","17.331537000000001","80.458824000000007",1
507003,"KHAMMAM","17.1937525","80.1421515",11
507003,"KHAMMAM","17.2472668","80.1514307",11
507003,"KHAMMAM","17.2472658","80.1514317",11
507158,"KHAMMAM","17.142658999999998","80.063175099999995",1
507158,"KHAMMAM","17.149847099999999","80.066055000000006",1
507158,"KHAMMAM","17.149850099999998","80.066051999999999",1
507209,"KHAMMAM","17.1692","80.552879",2
507209,"KHAMMAM","17.053227","80.451252",2
507209,"KHAMMAM","17.2133100","80.5950500",2
507209,"KHAMMAM","17.2133100","80.5950500",2
507209,"KHAMMAM","17.229223999999999","80.523736",2
507209,"KHAMMAM","17.237174","80.506444000000002",2
507209,"KHAMMAM","17.221907000000002","80.524873999999997",2
507209,"KHAMMAM","17.242982999999999","80.558143999999999",2
507203,"KHAMMAM","16.9150400","80.3579500",4
507203,"KHAMMAM","16.8482244","80.4191853",4
507203,"KHAMMAM","16.9233012","80.3630750",4
