"district","TotalDemand","Latitude","Longitude"
"BENGALURU URBAN",31343,12.9358502891188,77.5818111190038
"PUNE",15479,18.5898385005948,73.8826938710409
"THANE",13018,19.2681331497409,72.9476622088083
"MUMBAI SUBURBAN",12124,19.1245871907839,72.8767062771305
"GURUGRAM",12107,28.1592196522727,76.1504860477273
"RAIGAD",11205,18.5520334393162,73.1924220632479
"LUCKNOW",10065,26.8258327618182,80.9372018306364
"DEHRADUN",9912,30.3303810510204,77.9595690170068
"WEST",9658,28.6083765847826,76.5080310869565
"CHENNAI",7818,13.0445942708,80.1754166422667
"MEDCHAL MALKAJGIRI",7709,17.5145657755056,78.5629485469302
"HYDERABAD",6622,17.4447197723967,78.5143854037495
"GAUTAM BUDDHA NAGAR",6457,27.8485373938077,77.6090900660848
"RANGA REDDY",5935,17.2812373243614,78.4120739152678
"GHAZIABAD",5914,28.7059033094702,77.4936945040692
"KOLKATA",5903,22.520615785311,87.9966153014354
"24 PARAGANAS NORTH",5891,22.7666540481641,88.4055995153348
"PATNA",5784,25.5428915252717,84.7994220076087
"SOUTH",5570,28.5249706471429,77.2191030857143
"CHENGALPATTU",5237,12.68192811,80.0219249760526
